Designator,Mid X,Mid Y,Rotation,Layer
C1,33.375,-32.229639,0.0,top
C10,33.685786,-44.215425,45.0,top
C11,35.2,-45.929639,225.0,top
C12,32.1,-46.429639,45.0,top
C13,44.6,-50.229639,180.0,top
C14,41.2,-52.954639,90.0,top
C15,39.7,-52.954639,90.0,top
C16,60.2,-48.199639,0.0,top
C17,60.7,-42.029639,0.0,top
C18,60.2,-46.729639,0.0,top
C19,50.25,-48.929639,0.0,top
C2,30.975,-28.729639,90.0,top
C20,50.25,-46.779639,0.0,top
C21,64.1,-47.029639,270.0,top
C28,29.2,-43.569638,180.0,top
C29,63.7,-29.529639,180.0,top
C3,30.975,-30.629639,270.0,top
C30,46.8,-42.729639,180.0,top
C31,49.1,-42.729639,0.0,top
C32,51.3,-42.729639,180.0,top
C33,40.1,-47.929639,270.0,top
C34,37.7,-50.829639,0.0,top
C35,39.1,-47.929639,270.0,top
C36,43.73,-46.399638,0.0,top
C4,37.7,-24.504639,270.0,top
C5,31.5,-24.504639,270.0,top
C6,42.3,-27.929639,90.0,top
C7,38.2,-30.704639,270.0,top
C8,55.28,-41.029639,180.0,top
C9,63.7,-28.529639,180.0,top
D1,57.5,-29.129639,90.0,top
D2,25.1,-32.829639,0.0,top
D3,28.2,-45.729639,180.0,top
D4,18.8,-23.329639,270.0,top
D5,63.899999,-14.844639,270.0,top
D6,62.4,-14.844639,270.0,top
D7,60.8,-14.844639,270.0,top
D8,47.4,-23.029639,90.0,top
D9,41.6,-33.729639,45.0,top
J1,34.40766677609125,-18.543480143942386,191.834,top
J10,61.2,-29.429638,180.0,top
J11,20.95,-43.229639,90.0,top
J12,23.700001,-27.579639,0.0,top
J13,59.0,-52.779639,180.0,top
J14,23.699999,-22.029639,0.0,top
J2,54.6,-16.629639,180.0,top
J3,29.499999,-41.529639,270.0,top
J4,57.2,-24.592139,0.0,bottom
J5,20.95,-35.029639,90.0,top
J6,62.95,-36.42964,270.0,top
J7,49.7,-33.829637,270.0,top
J8,25.2,-52.779639,180.0,top
KIKIT_FID_B_1,5.0,-2.5,0.0,bottom
KIKIT_FID_B_2,72.849639,-2.5,0.0,bottom
KIKIT_FID_B_3,5.0,-65.149311,0.0,bottom
KIKIT_FID_B_4,72.849639,-65.149311,0.0,bottom
KIKIT_FID_T_1,5.0,-2.5,0.0,top
KIKIT_FID_T_2,72.849639,-2.5,0.0,top
KIKIT_FID_T_3,5.0,-65.149311,0.0,top
KIKIT_FID_T_4,72.849639,-65.149311,0.0,top
KIKIT_TO_1,2.5,-2.5,0.0,top
KIKIT_TO_2,75.349639,-2.5,0.0,top
KIKIT_TO_3,2.5,-65.149311,0.0,top
KIKIT_TO_4,75.349639,-65.149311,0.0,top
L1,33.6,-46.929639,45.0,top
L2,55.6,-45.829639,270.0,top
Q1,54.165,-29.729639,180.0,top
Q2,25.7,-38.129639,180.0,top
Q3,28.7,-33.629639,0.0,top
Q4,18.1,-27.029639,270.0,top
R1,36.2,-23.704639,90.0,top
R10,34.392893,-44.922532,45.0,top
R11,63.3,-43.729639,90.0,top
R12,63.800001,-45.229639,0.0,top
R13,62.7,-46.439639,0.0,top
R14,62.7,-47.529639,180.0,top
R19,48.7,-14.129639,270.0,top
R2,33.0,-23.704639,90.0,top
R20,47.0,-25.929639,90.0,top
R21,48.0,-25.929639,90.0,top
R22,50.0,-25.929639,90.0,top
R23,49.0,-25.929639,90.0,top
R24,59.2,-28.229639,270.0,top
R25,31.6,-34.829639,0.0,top
R26,31.6,-33.829639,180.0,top
R27,25.3,-45.029638,180.0,top
R28,25.3,-46.029639,180.0,top
R29,25.3,-47.029639,0.0,top
R30,30.6,-44.029639,90.0,top
R31,19.3,-29.929639,90.0,top
R32,18.3,-29.929639,270.0,top
R33,64.2,-31.029639,90.0,top
R34,63.2,-31.029639,90.0,top
R35,47.3,-41.229639,90.0,top
R36,46.3,-41.229639,270.0,top
R37,48.6,-41.229639,90.0,top
R38,49.6,-41.229639,270.0,top
R39,51.9,-41.229639,90.0,top
R4,34.2,-35.229639,45.0,top
R40,50.9,-41.229639,270.0,top
R41,29.7,-48.929639,0.0,top
R42,63.9,-16.729639,270.0,top
R43,62.4,-16.729639,270.0,top
R44,60.8,-16.729639,270.0,top
R45,42.3,-34.429639,225.0,top
R46,41.7,-47.329639,180.0,top
R5,63.2,-27.029639,270.0,top
R6,64.2,-27.029639,270.0,top
R7,32.6,-38.729639,90.0,top
R8,27.7,-35.829639,180.0,top
R9,29.6,-35.829639,180.0,top
SW1,33.55,-52.429639,180.0,top
SW2,49.0,-52.429639,180.0,top
TH1,43.73,-47.329639,0.0,top
U1,39.3,-41.029639,315.0,top
U2,34.575,-28.529639,0.0,top
U3,55.3,-36.829639,0.0,top
U4,30.0,-38.029639,0.0,top
U5,44.0,-52.729639,0.0,top
U6,60.7,-44.229639,180.0,top
Y1,36.5,-48.629639,0.0,top
